mes	produccion
1996-01-01	2403
1996-02-01	2218
1996-03-01	2618
1996-04-01	2478
1996-05-01	2907
1996-06-01	3185
1996-07-01	3330
1996-08-01	3056
1996-09-01	3066
1996-10-01	2683
1996-11-01	2633
1996-12-01	2792
1997-01-01	2969
1997-02-01	2755
1997-03-01	3000
1997-04-01	3101
1997-05-01	3386
1997-06-01	3409
1997-07-01	3429
1997-08-01	3276
1997-09-01	3036
1997-10-01	3012
1997-11-01	2872
1997-12-01	2790
1998-01-01	2800
1998-02-01	2667
1998-03-01	2997
1998-04-01	3023
1998-05-01	3426
1998-06-01	3576
1998-07-01	3633
1998-08-01	3568
1998-09-01	3343
1998-10-01	3256
1998-11-01	3130
1998-12-01	3160
1999-01-01	3082
1999-02-01	2911
1999-03-01	3325
1999-04-01	2311
1999-05-01	3863
1999-06-01	3937
1999-07-01	3913
1999-08-01	3724
1999-09-01	3556
1999-10-01	3542
1999-11-01	3263
1999-12-01	3663
2000-01-01	3445
2000-02-01	3421
2000-03-01	3511
2000-04-01	3539
2000-05-01	4174
2000-06-01	4185
2000-07-01	4290
2000-08-01	5296
2000-09-01	3876
2000-10-01	3492
2000-11-01	3157
2000-12-01	2807
2001-01-01	3470
2001-02-01	3145
2001-03-01	4926
2001-04-01	4759
2001-05-01	4363
2001-06-01	4158
2001-07-01	4418
2001-08-01	4079
2001-09-01	4023
2001-10-01	3667
2001-11-01	3472
2001-12-01	3547
2002-01-01	3570
2002-02-01	3312
2002-03-01	3707
2002-04-01	3695
2002-05-01	4137
2002-06-01	4336
2002-07-01	4612
2002-08-01	4927
2002-09-01	3924
2002-10-01	3527
2002-11-01	3269
2002-12-01	3393
2003-01-01	3540
2003-02-01	3430
2003-03-01	3836
2003-04-01	3881
2003-05-01	4503
2003-06-01	4678
2003-07-01	4853
2003-08-01	4947
2003-09-01	4590
2003-10-01	4431
2003-11-01	4038
2003-12-01	4175
2004-01-01	4172
2004-02-01	4045
2004-03-01	4355
2004-04-01	4252
2004-05-01	4507
2004-06-01	4539
2004-07-01	4648
2004-08-01	4622
2004-09-01	4417
2004-10-01	4312
2004-11-01	4034
2004-12-01	4215
2005-01-01	4098
2005-02-01	3800
2005-03-01	4116
2005-04-01	4102
2005-05-01	4571
2005-06-01	4493
2005-07-01	4662
2005-08-01	4623
2005-09-01	4321
2005-10-01	4196
2005-11-01	4116
2005-12-01	4134
2006-01-01	4253
2006-02-01	3906
2006-03-01	4301
2006-04-01	4189
2006-05-01	4440
2006-06-01	4403
2006-07-01	4527
2006-08-01	4550
2006-09-01	4362
2006-10-01	4363
2006-11-01	4118
2006-12-01	4206
2007-01-01	4199
2007-02-01	3715
2007-03-01	4252
2007-04-01	4264
2007-05-01	4479
2007-06-01	4317
2007-07-01	4485
2007-08-01	4446
2007-09-01	4319
2007-10-01	4212
2007-11-01	3996
2007-12-01	4251
2008-01-01	4157
2008-02-01	3957
2008-03-01	4248
2008-04-01	4088
2008-05-01	4129
2008-06-01	4233
2008-07-01	4401
2008-08-01	4470
2008-09-01	4257
2008-10-01	4252
2008-11-01	4027
2008-12-01	4079
2009-01-01	4068
2009-02-01	3719
2009-03-01	4196
2009-04-01	4065
2009-05-01	4197
2009-06-01	4168
2009-07-01	4284
2009-08-01	4017
2009-09-01	3994
2009-10-01	4117
2009-11-01	3730
2009-12-01	3864
2010-01-01	3884
2010-02-01	3622
2010-03-01	3943
2010-04-01	3815
2010-05-01	4107
2010-06-01	4003
2010-07-01	4160
2010-08-01	4152
2010-09-01	3939
2010-10-01	3963
2010-11-01	3712
2010-12-01	3807
2011-01-01	3817
2011-02-01	3457
2011-03-01	3768
2011-04-01	3613
2011-05-01	3874
2011-06-01	3818
2011-07-01	3922
2011-08-01	3960
2011-09-01	3818
2011-10-01	3921
2011-11-01	3742
2011-12-01	3818
2012-01-01	3814
2012-02-01	3466
2012-03-01	3753
2012-04-01	3673
2012-05-01	3796
2012-06-01	3649
2012-07-01	3765
2012-08-01	3764
2012-09-01	3638
2012-10-01	3712
2012-11-01	3516
2012-12-01	3577
2013-01-01	3554
2013-02-01	3228
2013-03-01	3460
2013-04-01	3375
2013-05-01	3548
2013-06-01	3451
2013-07-01	3548
2013-08-01	3573
2013-09-01	3461
2013-10-01	3552
2013-11-01	3441
2013-12-01	3517
2014-01-01	3540
2014-02-01	3192
2014-03-01	3478
2014-04-01	3256
2014-05-01	3544
2014-06-01	3435
2014-07-01	3574
2014-08-01	3559
2014-09-01	3456
2014-10-01	3482
2014-11-01	3419
2014-12-01	3549
2015-01-01	3595
2015-02-01	3229
2015-03-01	3612
2015-04-01	3516
2015-05-01	3670
2015-06-01	3540
2015-07-01	3637
2015-08-01	3716
2015-09-01	3539
2015-10-01	3707
2015-11-01	3557
2015-12-01	3587
2016-01-01	3711
2016-02-01	3483
2016-03-01	3782
2016-04-01	3688
2016-05-01	3853
2016-06-01	3722
2016-07-01	3894
2016-08-01	3871
2016-09-01	3720
2016-10-01	3863
2016-11-01	3637
2016-12-01	3764
2017-01-01	3816
2017-02-01	3274
2017-03-01	3789
2017-04-01	3699
2017-05-01	3785
2017-06-01	3669
2017-07-01	3825
2017-08-01	3838
2017-09-01	3702
2017-10-01	3847
2017-11-01	3556
2017-12-01	3795
