mes	gaseosas
1994-01-01	197684
1994-02-01	191844
1994-03-01	228194
1994-04-01	132273
1994-05-01	143959
1994-06-01	156678
1994-07-01	146935
1994-08-01	153513
1994-09-01	201958
1994-10-01	179882
1994-11-01	207917
1994-12-01	311889
1995-01-01	202063
1995-02-01	185434
1995-03-01	198282
1995-04-01	131882
1995-05-01	131678
1995-06-01	129298
1995-07-01	116077
1995-08-01	132800
1995-09-01	181288
1995-10-01	146763
1995-11-01	172182
1995-12-01	274603
1996-01-01	167678
1996-02-01	182417
1996-03-01	194329
1996-04-01	133653
1996-05-01	143986
1996-06-01	133091
1996-07-01	128243
1996-08-01	157479
1996-09-01	180095
1996-10-01	169393
1996-11-01	180280
1996-12-01	295775
1997-01-01	195950
1997-02-01	186868
1997-03-01	214479
1997-04-01	170910
1997-05-01	152596
1997-06-01	149469
1997-07-01	146825
1997-08-01	166525
1997-09-01	206141
1997-10-01	186917
1997-11-01	193218
1997-12-01	331808
1998-01-01	226894
1998-02-01	185957
1998-03-01	221762
1998-04-01	167521
1998-05-01	167753
1998-06-01	181984
1998-07-01	182178
1998-08-01	182559
1998-09-01	217104
1998-10-01	221026
1998-11-01	216589
1998-12-01	338537
1999-01-01	220817
1999-02-01	222615
1999-03-01	254158
1999-04-01	168933
1999-05-01	163246
1999-06-01	183466
1999-07-01	171538
1999-08-01	187388
1999-09-01	238573
1999-10-01	213542
1999-11-01	215590
1999-12-01	356346
2000-01-01	232591
2000-02-01	220975
2000-03-01	245796
2000-04-01	172420
2000-05-01	156938
2000-06-01	188417
2000-07-01	162033
2000-08-01	184948
2000-09-01	226649
2000-10-01	209133
2000-11-01	204830
2000-12-01	372527
2001-01-01	235954
2001-02-01	252154
2001-03-01	291080
2001-04-01	200748
2001-05-01	162247
2001-06-01	209933
2001-07-01	184931
2001-08-01	194179
2001-09-01	226990
2001-10-01	195991
2001-11-01	217207
2001-12-01	332152
2002-01-01	202828
2002-02-01	198544
2002-03-01	221167
2002-04-01	137351
2002-05-01	145465
2002-06-01	161173
2002-07-01	151788
2002-08-01	167640
2002-09-01	206676
2002-10-01	202336
2002-11-01	200306
2002-12-01	322960
2003-01-01	195627
2003-02-01	211332
2003-03-01	241895
2003-04-01	169747
2003-05-01	159122
2003-06-01	190884
2003-07-01	174199
2003-08-01	185953
2003-09-01	229321
2003-10-01	229655
2003-11-01	227624
2003-12-01	375436
2004-01-01	265033
2004-02-01	231962
2004-03-01	282386
2004-04-01	210156
2004-05-01	159989
2004-06-01	216915
2004-07-01	199668
2004-08-01	198804
2004-09-01	266380
2004-10-01	233646
2004-11-01	235191
2004-12-01	385682
2005-01-01	283244
2005-02-01	260230
2005-03-01	300269
2005-04-01	206758
2005-05-01	196072
2005-06-01	236659
2005-07-01	215543
2005-08-01	222795
2005-09-01	272074
2005-10-01	265989
2005-11-01	270202
2005-12-01	396585
2006-01-01	277021
2006-02-01	294717
2006-03-01	311990
2006-04-01	242740
2006-05-01	220979
2006-06-01	264994
2006-07-01	245752
2006-08-01	241081
2006-09-01	324369
2006-10-01	297029
2006-11-01	301812
2006-12-01	454871
2007-01-01	322874
2007-02-01	320178
2007-03-01	360251
2007-04-01	265012
2007-05-01	238395
2007-06-01	285682
2007-07-01	249900
2007-08-01	269003
2007-09-01	340041
2007-10-01	313298
2007-11-01	331143
2007-12-01	510811
2008-01-01	334024
2008-02-01	338276
2008-03-01	360071
2008-04-01	289737
2008-05-01	275660
2008-06-01	275124
2008-07-01	280681
2008-08-01	274140
2008-09-01	354367
2008-10-01	315119
2008-11-01	345229
2008-12-01	530502
2009-01-01	377933
2009-02-01	327289
2009-03-01	330236
2009-04-01	315187
2009-05-01	277166
2009-06-01	247991
2009-07-01	283928
2009-08-01	292030
2009-09-01	306964
2009-10-01	334470
2009-11-01	338641
2009-12-01	436309
2010-01-01	355349
2010-02-01	311143
2010-03-01	329943
2010-04-01	290479
2010-05-01	268391
2010-06-01	256731
2010-07-01	283819
2010-08-01	286970
2010-09-01	310468
2010-10-01	314513
2010-11-01	363426
2010-12-01	456782
2011-01-01	375012
2011-02-01	324056
2011-03-01	366069
2011-04-01	300463
2011-05-01	283006
2011-06-01	268828
2011-07-01	296702
2011-08-01	307779
2011-09-01	336998
2011-10-01	345898
2011-11-01	377928
2011-12-01	479869
2012-01-01	382374
2012-02-01	382811
