mes	ventas
1996-07-01	1036
1996-08-01	1064
1996-09-01	975
1996-10-01	1025
1996-11-01	1073
1996-12-01	1371
1997-01-01	1013
1997-02-01	1000
1997-03-01	1172
1997-04-01	1059
1997-05-01	1101
1997-06-01	1069
1997-07-01	1091
1997-08-01	1133
1997-09-01	1034
1997-10-01	1115
1997-11-01	1150
1997-12-01	1441
1998-01-01	1127
1998-02-01	1094
1998-03-01	1231
1998-04-01	1172
1998-05-01	1219
1998-06-01	1149
1998-07-01	1218
1998-08-01	1239
1998-09-01	1140
1998-10-01	1270
1998-11-01	1188
1998-12-01	1545
1999-01-01	1142
1999-02-01	1118
1999-03-01	1253
1999-04-01	1180
1999-05-01	1175
1999-06-01	1144
1999-07-01	1241
1999-08-01	1173
1999-09-01	1113
1999-10-01	1237
1999-11-01	1122
1999-12-01	1491
2000-01-01	1119
2000-02-01	1106
2000-03-01	1210
2000-04-01	1229
2000-05-01	1125
2000-06-01	1135
2000-07-01	1236
2000-08-01	1157
2000-09-01	1164
2000-10-01	1193
2000-11-01	1142
2000-12-01	1524
2001-01-01	1115
2001-02-01	1060
2001-03-01	1233
2001-04-01	1178
2001-05-01	1089
2001-06-01	1145
2001-07-01	1144
2001-08-01	1095
2001-09-01	1066
2001-10-01	1061
2001-11-01	1029
2001-12-01	1292
2002-01-01	1034
2002-02-01	1026
2002-03-01	1253
2002-04-01	1149
2002-05-01	1199
2002-06-01	1279
2002-07-01	1275
2002-08-01	1332
2002-09-01	1265
2002-10-01	1300
2002-11-01	1323
2002-12-01	1665
2003-01-01	1274
2003-02-01	1238
2003-03-01	1433
2003-04-01	1317
2003-05-01	1338
2003-06-01	1314
2003-07-01	1360
2003-08-01	1423
2003-09-01	1279
2003-10-01	1398
2003-11-01	1402
2003-12-01	1777
2004-01-01	1387
2004-02-01	1396
2004-03-01	1451
2004-04-01	1468
2004-05-01	1461
2004-06-01	1423
2004-07-01	1553
2004-08-01	1517
2004-09-01	1438
2004-10-01	1628
2004-11-01	1477
2004-12-01	2054
2005-01-01	1590
2005-02-01	1495
2005-03-01	1688
2005-04-01	1680
2005-05-01	1631
2005-06-01	1645
2005-07-01	1820
2005-08-01	1713
2005-09-01	1681
2005-10-01	1875
2005-11-01	1775
2005-12-01	2325
2006-01-01	1817
2006-02-01	1748
2006-03-01	1925
2006-04-01	2023
2006-05-01	1904
2006-06-01	1972
2006-07-01	2097
2006-08-01	2027
2006-09-01	2037
2006-10-01	2142
2006-11-01	2083
2006-12-01	2860
2007-01-01	2201
2007-02-01	2147
2007-03-01	2482
2007-04-01	2429
2007-05-01	2385
2007-06-01	2580
2007-07-01	2686
2007-08-01	2762
2007-09-01	2782
2007-10-01	2893
2007-11-01	2857
2007-12-01	3858
2008-01-01	3007
2008-02-01	3064
2008-03-01	3499
2008-04-01	3245
2008-05-01	3462
2008-06-01	3440
2008-07-01	3546
2008-08-01	3785
2008-09-01	3548
2008-10-01	3874
2008-11-01	3920
2008-12-01	4764
2009-01-01	3837
2009-02-01	3617
2009-03-01	3984
2009-04-01	3971
2009-05-01	4025
2009-06-01	3907
2009-07-01	4253
2009-08-01	4250
2009-09-01	3955
2009-10-01	4424
2009-11-01	4328
2009-12-01	5537
2010-01-01	4670
2010-02-01	4481
2010-03-01	4947
2010-04-01	4939
2010-05-01	5215
2010-06-01	5171
2010-07-01	5511
2010-08-01	5420
2010-09-01	5220
2010-10-01	5842
2010-11-01	5628
2010-12-01	7448
2011-01-01	5993
2011-02-01	5632
2011-03-01	6314
2011-04-01	6503
2011-05-01	6305
2011-06-01	6568
2011-07-01	7181
2011-08-01	6995
2011-09-01	6810
2011-10-01	7418
2011-11-01	7336
2011-12-01	9277
2012-01-01	7630
2012-02-01	7530
2012-03-01	8051
2012-04-01	8202
2012-05-01	7743
2012-06-01	8427
2012-07-01	8766
2012-08-01	8843
2012-09-01	8790
2012-10-01	9073
2012-11-01	9201
2012-12-01	11739
2013-01-01	9480
2013-02-01	9222
2013-03-01	10281
2013-04-01	9549
2013-05-01	9920
2013-06-01	10808
2013-07-01	10912
2013-08-01	11381
2013-09-01	10794
2013-10-01	11546
2013-11-01	12312
2013-12-01	15505
2014-01-01	12816
2014-02-01	12164
2014-03-01	13962
2014-04-01	13698
2014-05-01	14480
2014-06-01	14624
2014-07-01	14756
2014-08-01	15667
2014-09-01	14585
2014-10-01	16344
2014-11-01	17290
2014-12-01	20451
2015-01-01	17001
2015-02-01	16239
2015-03-01	17561
2015-04-01	17335
2015-05-01	18256
2015-06-01	18137
2015-07-01	19333
2015-08-01	20000
2015-09-01	18195
2015-10-01	20487
2015-11-01	21672
2015-12-01	26047
2016-01-01	21698
2016-02-01	21087
2016-03-01	22267
2016-04-01	22050
2016-05-01	22227
2016-06-01	23053
2016-07-01	25127
2016-08-01	24232
2016-09-01	23602
2016-10-01	25737
2016-11-01	26545
2016-12-01	32407
2017-01-01	26339
2017-02-01	24519
2017-03-01	26318
2017-04-01	27632
2017-05-01	26643
2017-06-01	27725
2017-07-01	29748
2017-08-01	29729
2017-09-01	29008
2017-10-01	30879
2017-11-01	32181
2017-12-01	38879
2018-01-01	30809
