mes	pasajeros
1993-01-01	8521
1993-02-01	9014
1993-03-01	12311
1993-04-01	10683
1993-05-01	12078
1993-06-01	12755
1993-07-01	13254
1993-08-01	13197
1993-09-01	13842
1993-10-01	12949
1993-11-01	13697
1993-12-01	13019
1994-01-01	9673
1994-02-01	9810
1994-03-01	13429
1994-04-01	13675
1994-05-01	15380
1994-06-01	14593
1994-07-01	15305
1994-08-01	16421
1994-09-01	16470
1994-10-01	15569
1994-11-01	16127
1994-12-01	14703
1995-01-01	11699
1995-02-01	11696
1995-03-01	15556
1995-04-01	14480
1995-05-01	16612
1995-06-01	16396
1995-07-01	16874
1995-08-01	17882
1995-09-01	16836
1995-10-01	17083
1995-11-01	17167
1995-12-01	14941
1996-01-01	12713
1996-02-01	13043
1996-03-01	15844
1996-04-01	16674
1996-05-01	18314
1996-06-01	16134
1996-07-01	18341
1996-08-01	17746
1996-09-01	17010
1996-10-01	19494
1996-11-01	17597
1996-12-01	15968
1997-01-01	13361
1997-02-01	13497
1997-03-01	16327
1997-04-01	19289
1997-05-01	18945
1997-06-01	18437
1997-07-01	20684
1997-08-01	19426
1997-09-01	21251
1997-10-01	21802
1997-11-01	19715
1997-12-01	19131
1998-01-01	16026
1998-02-01	16383
1998-03-01	21208
1998-04-01	21383
1998-05-01	21225
1998-06-01	21586
1998-07-01	23137
1998-08-01	22691
1998-09-01	23569
1998-10-01	23251
1998-11-01	22643
1998-12-01	20904
1999-01-01	16524
1999-02-01	17075
1999-03-01	22661
1999-04-01	22192
1999-05-01	22373
1999-06-01	22012
1999-07-01	22967
1999-08-01	23300
1999-09-01	24005
1999-10-01	22659
1999-11-01	23320
1999-12-01	21221
2000-01-01	16198
2000-02-01	17555
2000-03-01	22404
2000-04-01	20348
2000-05-01	22873
2000-06-01	22404
2000-07-01	23082
2000-08-01	24543
2000-09-01	23495
2000-10-01	23550
2000-11-01	22299
2000-12-01	20076
2001-01-01	16631
2001-02-01	16533
2001-03-01	21006
2001-04-01	20088
2001-05-01	21994
2001-06-01	20851
2001-07-01	20974
2001-08-01	22234
2001-09-01	21138
2001-10-01	22033
2001-11-01	21351
2001-12-01	16911
2002-01-01	15232
2002-02-01	15133
2002-03-01	17311
2002-04-01	19376
2002-05-01	20174
2002-06-01	18146
2002-07-01	20245
2002-08-01	20070
2002-09-01	19743
2002-10-01	19919
2002-11-01	19142
2002-12-01	17575
2003-01-01	14410
2003-02-01	14824
2003-03-01	17847
2003-04-01	19709
2003-05-01	20213
2003-06-01	19531
2003-07-01	20428
2003-08-01	20292
2003-09-01	21177
2003-10-01	21503
2003-11-01	19597
2003-12-01	18975
2004-01-01	14729
2004-02-01	16237
2004-03-01	21290
2004-04-01	18564
2004-05-01	20710
2004-06-01	21249
2004-07-01	21700
2004-08-01	21843
2004-09-01	22582
2004-10-01	21625
2004-11-01	21802
2004-12-01	18854
2005-01-01	15371
2005-02-01	13423
2005-03-01	20910
2005-04-01	22448
2005-05-01	22870
2005-06-01	22561
2005-07-01	22457
2005-08-01	23850
2005-09-01	23843
2005-10-01	22267
2005-11-01	22057
2005-12-01	21263
2006-01-01	17464
2006-02-01	17879
2006-03-01	23236
2006-04-01	19727
2006-05-01	24064
2006-06-01	23303
2006-07-01	23477
2006-08-01	24538
2006-09-01	24030
2006-10-01	24011
2006-11-01	24494
2006-12-01	21036
2007-01-01	17944
2007-02-01	17998
2007-03-01	22868
2007-04-01	20952
2007-05-01	21085
2007-06-01	23237
2007-07-01	24044
2007-08-01	25584
2007-09-01	25859
2007-10-01	25528
2007-11-01	25526
2007-12-01	20292
2008-01-01	18459
2008-02-01	18972
2008-03-01	20469
2008-04-01	24250
2008-05-01	26098
2008-06-01	24372
2008-07-01	26886
2008-08-01	25790
2008-09-01	27460
2008-10-01	27423
2008-11-01	24914
2008-12-01	24053
2009-01-01	21812
2009-02-01	21815
2009-03-01	25230
2009-04-01	25445
2009-05-01	25176
2009-06-01	26114
2009-07-01	22381
2009-08-01	25553
2009-09-01	26564
2009-10-01	26228
2009-11-01	23133
2009-12-01	23720
2010-01-01	18400
2010-02-01	19063
2010-03-01	25439
2010-04-01	24538
2010-05-01	24578
2010-06-01	25614
2010-07-01	26056
2010-08-01	27317
2010-09-01	27901
2010-10-01	24479
2010-11-01	27549
2010-12-01	24803
2011-01-01	20262
2011-02-01	21047
2011-03-01	24128
2011-04-01	25591
2011-05-01	27572
2011-06-01	27488
2011-07-01	26821
2011-08-01	28542
2011-09-01	29108
2011-10-01	27916
2011-11-01	27696
2011-12-01	24497
2012-01-01	16405
2012-02-01	16405
2012-03-01	22809
2012-04-01	18483
2012-05-01	21079
2012-06-01	21917
2012-07-01	22308
2012-08-01	15775
2012-09-01	20699
2012-10-01	22969
2012-11-01	20454
2012-12-01	17792
2013-01-01	14535
2013-02-01	13354
2013-03-01	19994
2013-04-01	22040
2013-05-01	24409
2013-06-01	21769
2013-07-01	24375
2013-08-01	23478
2013-09-01	22663
2013-10-01	24579
2013-11-01	21614
2013-12-01	19353
2014-01-01	16343
2014-02-01	17269
2014-03-01	19674
2014-04-01	20190
2014-05-01	21404
2014-06-01	18311
2014-07-01	21364
2014-08-01	20734
2014-09-01	22904
2014-10-01	23343
2014-11-01	20802
2014-12-01	19628
2015-01-01	16243
2015-02-01	16838
2015-03-01	21061
2015-04-01	20689
2015-05-01	23406
2015-06-01	20689
2015-07-01	25419
2015-08-01	24337
2015-09-01	26194
2015-10-01	25480
