fecha	hoy	ayer	semana_anterior
2018-03-07 00:05:00	16244,40	16964,32	18054,70
2018-03-07 00:10:00	16073,45	16804,58	17989,01
2018-03-07 00:15:00	16066,91	16710,19	17907,00
2018-03-07 00:20:00	15833,82	16564,80	17698,91
2018-03-07 00:25:00	15747,82	16622,21	17602,26
2018-03-07 00:30:00	15707,54	16407,37	17521,80
2018-03-07 00:35:00	15664,68	16249,49	17441,87
2018-03-07 00:40:00	15601,29	16090,45	17296,87
2018-03-07 00:45:00	15451,29	16098,45	17269,04
2018-03-07 00:50:00	15413,01	16047,34	17156,74
2018-03-07 00:55:00	15208,83	15902,92	17076,02
2018-03-07 01:00:00	15142,35	15828,22	16979,10
2018-03-07 01:05:00	15009,61	15736,57	16886,33
2018-03-07 01:10:00	14809,53	15720,59	16846,28
2018-03-07 01:15:00	14793,96	15667,29	16729,56
2018-03-07 01:20:00	14846,94	15589,90	16640,69
2018-03-07 01:25:00	14847,88	15524,52	16631,00
2018-03-07 01:30:00	14828,23	15633,24	16558,36
2018-03-07 01:35:00	14727,14	15632,14	16481,08
2018-03-07 01:40:00	14667,96	15528,12	16319,61
2018-03-07 01:45:00	14736,24	15420,81	16350,58
2018-03-07 01:50:00	14644,08	15402,85	16273,76
2018-03-07 01:55:00	14583,97	15350,74	16230,35
2018-03-07 02:00:00	14573,92	15212,79	16063,35
2018-03-07 02:05:00	14527,82	15346,59	15955,03
2018-03-07 02:10:00	14496,85	15133,56	15903,08
2018-03-07 02:15:00	14470,79	15296,15	15825,11
2018-03-07 02:20:00	14521,66	15218,37	15715,59
2018-03-07 02:25:00	14513,55	15224,29	15748,17
2018-03-07 02:30:00	14461,74	15241,28	15729,13
2018-03-07 02:35:00	14496,86	15200,51	15614,32
2018-03-07 02:40:00	14498,26	15128,32	15664,60
2018-03-07 02:45:00	14556,16	15100,60	15637,09
2018-03-07 02:50:00	14424,09	14966,33	15604,50
2018-03-07 02:55:00	14396,21	14970,06	15595,92
2018-03-07 03:00:00	14414,44	14926,30	15538,81
2018-03-07 03:05:00	14419,82	14931,49	15497,68
2018-03-07 03:10:00	14358,50	14928,77	15486,12
2018-03-07 03:15:00	14381,59	14852,05	15555,57
2018-03-07 03:20:00	14452,07	14764,67	15527,09
2018-03-07 03:25:00	14431,75	14942,88	15498,28
2018-03-07 03:30:00	14414,46	14836,48	15354,26
2018-03-07 03:35:00	14434,02	14859,91	15396,63
2018-03-07 03:40:00	14253,99	14937,84	15397,67
2018-03-07 03:45:00	14237,23	14861,97	15315,66
2018-03-07 03:50:00	14246,17	14848,68	15267,03
2018-03-07 03:55:00	14350,68	14704,78	15205,21
2018-03-07 04:00:00	14308,36	14766,01	15307,03
2018-03-07 04:05:00	14238,25	14711,60	15255,13
2018-03-07 04:10:00	14250,98	14874,37	15185,39
2018-03-07 04:15:00	14422,82	14923,91	15200,25
2018-03-07 04:20:00	14401,72	14955,04	15181,95
2018-03-07 04:25:00	14274,84	14955,06	15223,22
2018-03-07 04:30:00	14244,94	14986,05	15268,68
2018-03-07 04:35:00	14197,84	15070,22	15260,30
2018-03-07 04:40:00	14211,45	15020,37	15131,62
2018-03-07 04:45:00	14289,87	14817,51	15102,70
2018-03-07 04:50:00	14323,39	14830,78	15121,37
2018-03-07 04:55:00	14283,45	14862,44	15052,75
2018-03-07 05:00:00	14276,29	14858,57	15065,07
2018-03-07 05:05:00	14396,46	14872,27	15106,18
2018-03-07 05:10:00	14505,37	14848,41	15164,51
2018-03-07 05:15:00	14488,13	14943,29	15189,61
2018-03-07 05:20:00	14445,01	14940,83	15159,22
2018-03-07 05:25:00	14395,78	14940,46	15105,99
2018-03-07 05:30:00	14382,00	14962,12	15129,86
2018-03-07 05:35:00	14469,50	14971,67	15210,96
2018-03-07 05:40:00	14620,58	14946,75	15304,90
2018-03-07 05:45:00	14601,97	15031,93	15227,52
2018-03-07 05:50:00	14635,75	15019,93	15263,36
2018-03-07 05:55:00	14749,57	15028,15	15243,32
2018-03-07 06:00:00	14737,13	15083,92	15247,28
2018-03-07 06:05:00	14813,57	15064,76	15366,50
2018-03-07 06:10:00	14863,98	15181,18	15427,02
2018-03-07 06:15:00	14947,54	15134,77	15593,48
2018-03-07 06:20:00	14695,14	14996,03	15812,90
2018-03-07 06:25:00	14830,00	15060,28	15819,00
2018-03-07 06:30:00	14792,43	15234,80	15777,73
2018-03-07 06:35:00	14731,27	15324,19	15688,35
2018-03-07 06:40:00	14697,08	15201,77	15743,75
2018-03-07 06:45:00	14639,40	15240,03	15627,58
2018-03-07 06:50:00	14544,55	15171,49	15544,40
2018-03-07 06:55:00	14517,07	15090,19	15570,70
2018-03-07 07:00:00	14568,29	15086,50	15656,28
2018-03-07 07:05:00	14601,31	15098,13	15518,41
2018-03-07 07:10:00	14679,82	15034,94	15541,22
2018-03-07 07:15:00	14669,48	15095,46	15575,61
2018-03-07 07:20:00	14613,57	14991,67	15592,04
2018-03-07 07:25:00	14650,46	15079,12	15600,96
2018-03-07 07:30:00	14708,63	15081,38	15685,47
2018-03-07 07:35:00	14695,37	15021,50	15768,95
2018-03-07 07:40:00	14654,52	15115,88	15660,84
2018-03-07 07:45:00	14681,98	15220,49	15782,48
2018-03-07 07:50:00	14738,81	15255,58	15832,25
2018-03-07 07:55:00	14794,65	15294,33	15990,65
2018-03-07 08:00:00	14831,91	15363,79	16116,03
2018-03-07 08:05:00	14936,98	15383,60	16255,20
2018-03-07 08:10:00	15063,51	15504,79	16435,33
2018-03-07 08:15:00	15064,14	15456,13	16339,14
2018-03-07 08:20:00	15235,24	15402,85	16438,24
2018-03-07 08:25:00	15272,14	15459,56	16486,56
2018-03-07 08:30:00	15385,98	15595,48	16585,78
2018-03-07 08:35:00	15488,27	15682,45	16688,08
2018-03-07 08:40:00	15627,18	15713,70	16722,75
2018-03-07 08:45:00	15663,47	15760,01	16812,88
2018-03-07 08:50:00	15689,68	15704,20	16878,45
2018-03-07 08:55:00	15794,56	15724,93	17041,02
2018-03-07 09:00:00	15846,70	15790,04	17098,92
2018-03-07 09:05:00	15933,70	15965,10	17164,01
2018-03-07 09:10:00	16014,57	16030,12	17240,64
2018-03-07 09:15:00	15972,47	16121,02	17339,61
2018-03-07 09:20:00	16157,28	16127,13	17463,98
2018-03-07 09:25:00	16150,56	16174,75	17426,79
2018-03-07 09:30:00	16144,16	16158,01	17548,59
2018-03-07 09:35:00	16236,59	16277,57	17693,89
2018-03-07 09:40:00	16396,13	16278,92	17574,87
2018-03-07 09:45:00	16488,24	16377,93	17599,12
2018-03-07 09:50:00	16522,34	16317,42	17720,06
2018-03-07 09:55:00	16520,06	16459,49	17727,20
2018-03-07 10:00:00	16513,00	16483,01	17873,82
2018-03-07 10:05:00	16578,18	16552,14	18001,23
2018-03-07 10:10:00	16681,41	16664,80	18105,46
2018-03-07 10:15:00	16613,47	16514,64	18167,07
2018-03-07 10:20:00	16681,37	16661,40	18173,94
2018-03-07 10:25:00	16782,15	16739,08	18171,42
2018-03-07 10:30:00	16915,40	16729,69	18239,39
2018-03-07 10:35:00	16937,84	16794,22	18224,54
2018-03-07 10:40:00	17023,11	16851,70	18154,59
2018-03-07 10:45:00	17130,22	16856,75	18239,13
2018-03-07 10:50:00	17089,75	16870,40	18286,45
2018-03-07 10:55:00	17168,82	17021,04	18408,31
2018-03-07 11:00:00	17202,12	17034,68	18504,31
2018-03-07 11:05:00	17308,57	17008,29	18525,47
2018-03-07 11:10:00	17248,99	17031,65	18704,33
2018-03-07 11:15:00	17340,34	16979,87	18737,75
2018-03-07 11:20:00	17396,46	17039,51	18853,05
2018-03-07 11:25:00	17383,49	17157,73	18810,20
2018-03-07 11:30:00	17355,29	17284,16	18798,23
2018-03-07 11:35:00	17396,49	17476,88	18783,56
2018-03-07 11:40:00	17410,97	17431,53	18833,42
2018-03-07 11:45:00	17584,39	17386,18	18832,91
2018-03-07 11:50:00	17582,37	17440,55	18973,90
2018-03-07 11:55:00	17476,40	17544,20	19001,13
2018-03-07 12:00:00	17494,87	17301,31	18947,62
2018-03-07 12:05:00	17502,56	17215,38	19112,65
2018-03-07 12:10:00	17489,57	17285,16	19221,44
2018-03-07 12:15:00	17463,03	17419,56	19294,22
2018-03-07 12:20:00	17549,01	17335,23	19324,73
2018-03-07 12:25:00	17633,29	17432,19	19354,62
2018-03-07 12:30:00	17572,95	17418,62	19425,22
2018-03-07 12:35:00	17524,30	17492,71	19385,12
2018-03-07 12:40:00	17614,58	17513,62	19379,31
2018-03-07 12:45:00	17696,14	17559,09	19342,95
2018-03-07 12:50:00	17690,34	17534,18	19562,16
2018-03-07 12:55:00	17737,64	17436,75	19484,31
2018-03-07 13:00:00	17644,13	17373,20	19473,32
2018-03-07 13:05:00	17647,66	17377,75	19549,53
2018-03-07 13:10:00	17633,84	17443,77	19813,79
2018-03-07 13:15:00	17683,48	17473,85	19838,90
2018-03-07 13:20:00	17653,06	17527,86	19943,91
2018-03-07 13:25:00	17797,83	17598,29	19952,79
2018-03-07 13:30:00	17672,46	17624,05	19878,53
2018-03-07 13:35:00	17705,53	17744,11	19798,31
2018-03-07 13:40:00	17668,40	17750,72	19785,84
2018-03-07 13:45:00	17825,75	17585,61	19810,42
2018-03-07 13:50:00	17782,58	17481,01	19900,57
2018-03-07 13:55:00	17769,68	17570,55	19976,34
2018-03-07 14:00:00	17798,01	17503,99	19881,13
2018-03-07 14:05:00	17849,71	17607,54	19888,93
2018-03-07 14:10:00	17861,51	17722,45	19948,68
2018-03-07 14:15:00	17895,87	17816,25	19937,04
2018-03-07 14:20:00	17925,24	17738,93	19896,15
2018-03-07 14:25:00	17846,50	17710,87	20034,92
2018-03-07 14:30:00	17898,90	17760,45	19955,06
2018-03-07 14:35:00	18010,00	17581,23	20025,91
2018-03-07 14:40:00	18099,19	17680,23	19894,74
2018-03-07 14:45:00	18087,07	17846,25	19923,46
2018-03-07 14:50:00	18008,14	17814,53	20110,20
2018-03-07 14:55:00	18051,40	17749,73	20068,54
2018-03-07 15:00:00	18103,10	17774,42	20132,69
2018-03-07 15:05:00	18134,16	17774,54	20092,30
2018-03-07 15:10:00	18108,43	17883,13	20123,96
2018-03-07 15:15:00	18178,07	17854,62	20065,74
2018-03-07 15:20:00	18163,80	17766,12	20059,29
2018-03-07 15:25:00	18087,53	17764,10	20089,92
2018-03-07 15:30:00	18193,79	17740,01	20125,15
2018-03-07 15:35:00	18146,97	17788,57	20092,36
2018-03-07 15:40:00	18149,14	17822,71	19986,91
2018-03-07 15:45:00	18227,21	17864,36	19983,09
2018-03-07 15:50:00	18226,19	17747,23	20111,28
2018-03-07 15:55:00	18280,55	17902,40	20005,76
2018-03-07 16:00:00	18318,46	17810,11	19898,24
2018-03-07 16:05:00	18309,23	17835,62	19912,08
2018-03-07 16:10:00	18296,88	17853,69	19897,78
2018-03-07 16:15:00	18345,75	17888,48	19943,09
2018-03-07 16:20:00	18319,44	17818,97	19844,30
2018-03-07 16:25:00	18295,47	17901,46	19852,77
2018-03-07 16:30:00	18295,07	17887,96	19820,95
2018-03-07 16:35:00	18297,10	17851,03	19897,62
2018-03-07 16:40:00	18288,73	17800,60	19799,84
2018-03-07 16:45:00	18295,48	17878,38	19713,48
2018-03-07 16:50:00		18018,36	19848,21
2018-03-07 16:55:00		18039,79	19826,36
2018-03-07 17:00:00		17823,76	19798,82
2018-03-07 17:05:00		17884,84	19700,41
2018-03-07 17:10:00		17972,24	19595,76
2018-03-07 17:15:00		17892,56	19689,76
2018-03-07 17:20:00		17968,28	19516,91
2018-03-07 17:25:00		17679,58	19513,67
2018-03-07 17:30:00		17583,33	19542,62
2018-03-07 17:35:00		17612,15	19453,34
2018-03-07 17:40:00		17731,31	19460,97
2018-03-07 17:45:00		17629,17	19354,55
2018-03-07 17:50:00		17698,95	19288,12
2018-03-07 17:55:00		17656,76	18967,46
2018-03-07 18:00:00		17472,79	18838,64
2018-03-07 18:05:00		17417,57	18745,58
2018-03-07 18:10:00		17395,38	18753,02
