fecha	produccion
1993-01-01	22010
1993-02-01	4033
1993-03-01	21971
1993-04-01	21919
1993-05-01	24172
1993-06-01	25468
1993-07-01	26967
1993-08-01	27342
1993-09-01	28936
1993-10-01	26920
1993-11-01	29044
1993-12-01	28182
1994-01-01	28731
1994-02-01	6475
1994-03-01	28041
1994-04-01	29311
1994-05-01	28480
1994-06-01	28575
1994-07-01	30466
1994-08-01	35111
1994-09-01	34757
1994-10-01	31021
1994-11-01	32013
1994-12-01	25374
1995-01-01	6584
1995-02-01	26972
1995-03-01	28515
1995-04-01	18293
1995-05-01	23106
1995-06-01	16317
1995-07-01	18609
1995-08-01	19000
1995-09-01	17510
1995-10-01	17950
1995-11-01	18713
1995-12-01	15087
1996-01-01	3466
1996-02-01	16731
1996-03-01	21231
1996-04-01	23094
1996-05-01	25620
1996-06-01	22492
1996-07-01	26410
1996-08-01	27983
1996-09-01	24406
1996-10-01	27649
1996-11-01	27968
1996-12-01	22389
1997-01-01	13083
1997-02-01	23610
1997-03-01	26302
1997-04-01	30369
1997-05-01	32603
1997-06-01	31439
1997-07-01	35470
1997-08-01	34349
1997-09-01	37252
1997-10-01	44561
1997-11-01	36890
1997-12-01	20538
1998-01-01	14601
1998-02-01	27267
1998-03-01	31418
1998-04-01	33626
1998-05-01	32957
1998-06-01	35229
1998-07-01	34994
1998-08-01	38755
1998-09-01	36448
1998-10-01	31513
1998-11-01	25293
1998-12-01	10973
1999-01-01	8081
1999-02-01	11853
1999-03-01	14631
1999-04-01	15958
1999-05-01	16312
1999-06-01	19745
1999-07-01	19481
1999-08-01	22504
1999-09-01	22588
1999-10-01	24065
1999-11-01	24919
1999-12-01	24596
2000-01-01	17179
2000-02-01	15276
2000-03-01	23582
2000-04-01	20568
2000-05-01	21249
2000-06-01	20437
2000-07-01	19421
2000-08-01	20524
2000-09-01	19911
2000-10-01	20932
2000-11-01	22208
2000-12-01	17419
2001-01-01	8023
2001-02-01	10759
2001-03-01	18785
2001-04-01	18525
2001-05-01	20393
2001-06-01	20717
2001-07-01	17615
2001-08-01	13223
2001-09-01	11598
2001-10-01	12225
2001-11-01	11729
2001-12-01	5988
2002-01-01	3043
2002-02-01	4888
2002-03-01	7823
2002-04-01	11435
2002-05-01	9991
2002-06-01	9310
2002-07-01	11371
2002-08-01	10574
2002-09-01	11080
2002-10-01	11496
2002-11-01	12094
2002-12-01	8190
2003-01-01	6213
2003-02-01	7742
2003-03-01	9816
2003-04-01	10246
2003-05-01	8673
