mes	generacion
2011-01-01	523425
2011-02-01	533124
2011-03-01	435933
2011-04-01	342776
2011-05-01	468288
2011-06-01	569196
2011-07-01	621613
2011-08-01	608501
2011-09-01	575208
2011-10-01	501624
2011-11-01	232596
2011-12-01	480080
2012-01-01	589178
2012-02-01	529991
2012-03-01	521135
2012-04-01	297086
2012-05-01	355669
2012-06-01	529540
2012-07-01	612156
2012-08-01	614028
2012-09-01	590222
2012-10-01	390466
2012-11-01	273483
2012-12-01	601128
2013-01-01	578965
2013-02-01	521978
2013-03-01	470968
2013-04-01	384701
2013-05-01	388120
2013-06-01	590635
2013-07-01	590410
2013-08-01	584013
2013-09-01	580441
2013-10-01	379491
2013-11-01	242561
2013-12-01	420210
2014-01-01	594099
2014-02-01	517642
2014-03-01	298202
2014-04-01	242817
2014-05-01	363983
2014-06-01	540184
2014-07-01	652312
2014-08-01	494427
2014-09-01	224572
2014-10-01	434924
2014-11-01	327491
2014-12-01	567074
2015-01-01	548514
2015-02-01	598536
2015-03-01	619936
2015-04-01	349457
2015-05-01	333136
2015-06-01	416137
2015-07-01	863909
2015-08-01	596447
2015-09-01	376652
2015-10-01	243061
2015-11-01	614675
2015-12-01	958064
2016-01-01	679431
2016-02-01	660013
2016-03-01	590450
2016-04-01	704574
2016-05-01	749103
2016-06-01	689392
2016-07-01	674389
2016-08-01	494857
2016-09-01	528295
2016-10-01	740803
2016-11-01	639810
2016-12-01	526176
2017-01-01	637244
2017-02-01	634135
2017-03-01	509770
2017-04-01	241891
2017-05-01	193881
2017-06-01	241492
2017-07-01	252172
2017-08-01	621551
2017-09-01	610015
2017-10-01	616319
2017-11-01	507077
2017-12-01	650682
2018-01-01	638617
2018-02-01	572051
