fecha	min	max
2018-03-06	13,4	27,5
2018-03-05	18,5	28,7
2018-03-04	20,5	34,9
2018-03-03	20,0	32,0
2018-03-02	17,6	33,9
2018-03-01	17,5	33,3
2018-02-28	19,3	32,0
2018-02-27	18,5	32,0
2018-02-26	19,6	29,0
2018-02-25	20,3	30,8
2018-02-24	19,7	30,6
2018-02-23	14,4	30,4
2018-02-22	12,6	29,0
2018-02-21	13,4	28,5
2018-02-20	15,7	30,3
2018-02-19	21,4	32,0
2018-02-18	21,8	35,0
2018-02-17	20,7	35,4
2018-02-16	23,0	34,2
2018-02-15	18,5	32,6
2018-02-14	15,4	30,9
2018-02-13	8,7	28,4
2018-02-12	7,6	25,2
2018-02-11	14,2	27,1
2018-02-10	16,4	30,8
2018-02-09	21,2	30,3
2018-02-08	21,4	36,6
2018-02-07	20,3	37,2
2018-02-06	21,1	35,1
2018-02-05	22,7	35,4
2018-02-04	22,0	35,2
2018-02-03	21,2	34,5
2018-02-02	19,0	35,9
2018-02-01	18,5	34,4
2018-01-31	18,3	31,5
2018-01-30	20,8	34,3
2018-01-29	17,4	31,7
2018-01-28	15,7	34,2
2018-01-27	18,9	28,7
2018-01-26	20,1	31,5
2018-01-25	16,9	27,2
2018-01-24	18,1	28,7
2018-01-23	19,5	33,9
2018-01-22	18,3	34,1
2018-01-21	19,9	33,0
2018-01-20	20,3	33,9
2018-01-19	18,8	34,4
2018-01-18	16,1	33,2
2018-01-17	19,5	26,3
2018-01-16	19,0	31,1
2018-01-15	14,4	28,3
2018-01-14	15,7	22,9
2018-01-13	21,0	30,9
2018-01-12	25,1	35,7
2018-01-11	24,0	36,9
2018-01-10	23,7	36,5
2018-01-09	21,8	32,8
2018-01-08	18,4	32,8
2018-01-07	15,6	32,8
2018-01-06	14,5	27,9
2018-01-05	17,0	30,3
2018-01-04	21,2	37,1
2018-01-03	16,4	33,1
2018-01-02	15,4	31,7
2018-01-01	16,7	27,6
2017-12-31	16,5	31,5
2017-12-30	21,4	36,8
2017-12-29	20,8	34,3
2017-12-28	22,8	36,0
2017-12-27	20,3	32,4
2017-12-26	21,0	34,7
2017-12-25	15,8	33,6
2017-12-24	15,1	26,1
2017-12-23	19,2	27,4
2017-12-22	20,0	35,5
2017-12-21	22,6	28,6
2017-12-20	17,4	31,4
2017-12-19	17,3	21,4
2017-12-18	14,4	24,1
2017-12-17	15,5	29,9
2017-12-16	25,0	33,8
2017-12-15	17,2	35,6
2017-12-14	15,4	33,1
2017-12-13	18,0	34,4
2017-12-12	14,7	32,6
2017-12-11	12,9	26,7
2017-12-10	15,3	34,0
2017-12-09	18,6	36,5
2017-12-08	22,1	31,4
2017-12-07	17,8	36,0
2017-12-06	18,9	31,3
2017-12-05	17,9	29,0
2017-12-04	16,6	26,3
2017-12-03	18,1	26,3
2017-12-02	20,3	27,1
2017-12-01	19,7	28,7
2017-11-30	16,8	30,5
2017-11-29	17,7	31,1
2017-11-28	12,0	25,5
2017-11-27	15,9	26,2
2017-11-26	10,8	29,6
2017-11-25	6,1	25,6
2017-11-24	9,0	23,8
2017-11-23	17,6	34,9
2017-11-22	11,5	30,1
2017-11-21	14,5	23,5
2017-11-20	14,5	24,0
2017-11-19	11,0	28,6
2017-11-18	10,4	23,9
2017-11-17	12,3	30,7
2017-11-16	11,6	26,1
2017-11-15	18,6	38,7
2017-11-14	17,1	33,6
2017-11-13	16,4	34,0
2017-11-12	12,6	29,0
2017-11-11	13,2	28,0
2017-11-10	16,0	30,7
2017-11-09	10,5	29,1
2017-11-08	13,8	26,7
2017-11-07	17,4	24,5
2017-11-06	13,8	28,1
2017-11-05	12,9	26,6
2017-11-04	11,4	25,8
2017-11-03	14,1	24,5
2017-11-02	15,1	24,0
2017-11-01	16,8	29,1
2017-10-31	9,7	27,2
2017-10-30	13,1	25,1
2017-10-29	16,1	25,2
2017-10-28	10,6	24,6
2017-10-27	13,9	24,6
2017-10-26	15,8	29,7
2017-10-25	12,4	29,1
2017-10-24	13,4	26,1
2017-10-23	9,9	22,4
2017-10-22	6,2	19,3
2017-10-21	14,2	22,0
2017-10-20	12,4	26,1
2017-10-19	11,1	22,6
2017-10-18	16,7	25,3
2017-10-17	16,9	24,2
2017-10-16	13,5	27,0
2017-10-15	7,3	25,3
2017-10-14	3,9	23,9
2017-10-13	8,7	18,0
2017-10-12	11,2	16,6
2017-10-11	9,7	21,4
2017-10-10	11,6	19,9
2017-10-09	11,6	23,1
2017-10-08	14,0	23,3
2017-10-07	9,0	22,6
2017-10-06	7,9	23,9
2017-10-05	15,5	26,0
2017-10-04	16,7	29,3
2017-10-03	10,2	24,9
2017-10-02	8,7	20,1
2017-10-01	12,8	21,7
2017-09-30	15,8	24,3
2017-09-29	13,6	20,3
2017-09-28	8,6	16,0
2017-09-27	7,9	17,3
2017-09-26	9,8	21,4
2017-09-25	14,2	25,8
2017-09-24	11,1	24,7
2017-09-23	5,5	21,4
2017-09-22	5,0	18,6
2017-09-21	10,7	16,8
2017-09-20	16,0	28,1
2017-09-19	13,4	26,2
2017-09-18	10,8	24,4
2017-09-17	7,3	22,1
2017-09-16	5,5	20,3
2017-09-15	5,8	16,7
2017-09-14	10,9	23,3
2017-09-13	6,6	20,7
2017-09-12	4,3	19,1
2017-09-11	7,9	18,7
2017-09-10	10,1	19,0
2017-09-09	16,0	22,7
2017-09-08	9,4	17,1
2017-09-07	8,3	20,5
2017-09-06	9,5	19,7
2017-09-05	3,8	17,6
2017-09-04	9,0	18,8
2017-09-03	11,8	23,7
2017-09-02	17,8	29,8
2017-09-01	12,4	24,1
2017-08-31	3,3	18,8
2017-08-30	2,6	16,8
2017-08-29	11,9	20,4
2017-08-28	18,8	23,1
2017-08-27	15,3	22,7
2017-08-26	12,8	18,1
2017-08-25	15,3	21,4
2017-08-24	14,9	26,1
2017-08-23	12,7	22,4
2017-08-22	8,8	20,8
2017-08-21	3,7	20,2
2017-08-20	2,3	17,5
2017-08-19	9,3	19,6
2017-08-18	10,4	25,6
2017-08-17	5,1	23,8
2017-08-16	4,0	19,5
2017-08-15	7,2	22,1
2017-08-14	5,9	19,1
2017-08-13	1,3	18,7
2017-08-12	10,1	16,9
2017-08-11	14,4	17,5
2017-08-10	12,9	16,3
2017-08-09	6,8	15,6
2017-08-08	10,6	19,3
2017-08-07	14,4	19,5
2017-08-06	9,4	25,1
2017-08-05	10,0	20,6
2017-08-04	2,4	18,6
2017-08-03	1,8	18,0
2017-08-02	10,1	17,0
2017-08-01	11,9	13,7
2017-07-31	8,7	12,5
2017-07-30	9,1	17,3
2017-07-29	12,4	26,1
2017-07-28	16,8	28,1
2017-07-27	14,1	26,6
2017-07-26	13,8	18,4
2017-07-25	9,6	16,8
2017-07-24	10,6	17,8
2017-07-23	10,1	23,3
2017-07-22	4,6	19,6
2017-07-21	1,8	20,2
2017-07-20	2,2	21,1
2017-07-19	0,2	17,5
2017-07-18	-2,6	16,2
2017-07-17	-3,2	11,5
2017-07-16	2,7	9,8
2017-07-15	9,1	15,8
2017-07-14	13,4	16,9
2017-07-13	11,8	25,1
2017-07-12	11,9	19,4
2017-07-11	5,4	13,5
2017-07-10	10,3	13,1
2017-07-09	9,5	13,3
2017-07-08	10,5	14,2
2017-07-07	9,6	14,4
2017-07-06	10,1	13,0
2017-07-05	11,8	17,8
2017-07-04	13,0	22,1
2017-07-03	10,4	20,6
2017-07-02	7,8	20,2
2017-07-01	4,9	18,9
2017-06-30	3,6	20,3
2017-06-29	7,6	17,1
2017-06-28	9,9	13,0
2017-06-27	13,0	22,3
2017-06-26	17,2	25,3
2017-06-25	19,9	26,6
2017-06-24	17,6	26,5
2017-06-23	18,4	25,6
2017-06-22	10,7	23,0
2017-06-21	5,7	15,2
2017-06-20	-1,9	12,7
2017-06-19	-1,7	13,5
2017-06-18	5,1	12,1
2017-06-17	12,1	22,9
2017-06-16	18,9	25,5
2017-06-15	14,5	19,5
2017-06-14	4,6	18,6
2017-06-13	2,7	19,6
2017-06-12	-0,1	15,8
2017-06-11	6,1	18,5
2017-06-10	4,8	24,8
2017-06-09	1,9	18,9
2017-06-08	9,2	12,0
2017-06-07	1,7	14,5
2017-06-06	1,2	17,0
2017-06-05	3,1	15,1
2017-06-04	7,8	16,6
2017-06-03	6,9	14,6
2017-06-02	3,2	16,6
2017-06-01	1,1	16,8
2017-05-31	6,2	14,8
2017-05-30	8,6	15,7
2017-05-29	8,4	16,4
2017-05-28	4,9	16,4
2017-05-27	4,9	15,3
2017-05-26	10,1	19,1
2017-05-25	13,3	18,4
2017-05-24	12,3	20,2
2017-05-23	8,8	21,2
2017-05-22	6,3	22,4
2017-05-21	6,5	22,5
2017-05-20	5,9	12,4
2017-05-19	10,1	15,0
2017-05-18	14,3	18,1
2017-05-17	12,1	20,0
2017-05-16	7,1	19,4
2017-05-15	12,3	19,6
2017-05-14	9,9	16,8
2017-05-13	12,4	18,1
2017-05-12	12,6	15,6
2017-05-11	11,6	15,7
2017-05-10	9,1	18,2
2017-05-09	8,2	19,6
2017-05-08	15,1	23,0
2017-05-07	20,4	26,5
2017-05-06	16,5	26,5
2017-05-05	12,9	26,8
2017-05-04	16,5	26,9
2017-05-03	16,5	26,8
2017-05-02	14,6	25,1
2017-05-01	9,3	26,8
2017-04-30	6,3	26,3
2017-04-29	8,6	24,6
2017-04-28	8,2	26,4
2017-04-27	3,2	24,2
2017-04-26	8,2	17,8
2017-04-25	11,4	17,8
2017-04-24	14,6	24,5
2017-04-23	8,8	24,7
2017-04-22	7,9	18,4
2017-04-21	14,1	24,8
2017-04-20	13,4	25,9
2017-04-19	14,1	20,5
2017-04-18	14,7	18,5
2017-04-17	10,0	22,1
2017-04-16	12,5	20,0
2017-04-15	13,2	23,7
2017-04-14	10,1	22,6
2017-04-13	11,5	22,0
2017-04-12	10,4	19,9
2017-04-11	12,4	24,7
2017-04-10	13,9	19,6
2017-04-09	17,9	21,0
2017-04-08	15,8	23,5
2017-04-07	16,5	29,1
2017-04-06	11,4	27,7
2017-04-05	17,4	27,0
2017-04-04	14,1	28,2
2017-04-03	15,2	23,7
2017-04-02	17,5	25,0
2017-04-01	19,4	27,7
2017-03-31	20,6	29,1
2017-03-30	21,1	25,6
2017-03-29	19,5	28,1
2017-03-28	20,7	28,3
2017-03-27	20,3	30,5
2017-03-26	18,3	28,1
2017-03-25	18,4	29,6
2017-03-24	17,2	28,7
2017-03-23	18,5	26,8
2017-03-22	17,8	28,2
2017-03-21	14,4	25,2
2017-03-20	12,6	24,4
2017-03-19	11,9	24,9
2017-03-18	11,0	24,3
2017-03-17	7,9	22,9
2017-03-16	13,6	21,7
2017-03-15	16,5	23,5
2017-03-14	12,9	28,4
2017-03-13	8,8	27,7
2017-03-12	13,8	23,6
2017-03-11	14,9	22,3
2017-03-10	12,7	25,3
2017-03-09	19,1	27,1
2017-03-08	20,9	29,3
2017-03-07	16,9	28,7
